ccode,year,ssp,hc.source,extreme.Poor,gdp.capita
AFG,2015,SSP1,regression,12698235,1790.51
AFG,2015,SSP2,regression,12698235,1790.51
AFG,2015,SSP3,regression,12698235,1790.51
AFG,2015,SSP4,regression,12698235,1790.51
AFG,2015,SSP5,regression,12698235,1790.51
AFG,2016,SSP1,regression,12888301,1780.16
AFG,2016,SSP2,regression,12888301,1780.16
AFG,2016,SSP3,regression,12888301,1780.16
AFG,2016,SSP4,regression,12888301,1780.16
AFG,2016,SSP5,regression,12888301,1780.16
AFG,2017,SSP1,regression,12789616,1790.68
AFG,2017,SSP2,regression,12789616,1790.68
AFG,2017,SSP3,regression,12789616,1790.68
AFG,2017,SSP4,regression,12789616,1790.68
AFG,2017,SSP5,regression,12789616,1790.68
AFG,2018,SSP1,regression,12532599,1812.69
AFG,2018,SSP2,regression,12532599,1812.69
AFG,2018,SSP3,regression,12532599,1812.69
AFG,2018,SSP4,regression,12532599,1812.69
AFG,2018,SSP5,regression,12532599,1812.69
AFG,2019,SSP1,regression,12149180,1845.41
AFG,2019,SSP2,regression,12149180,1845.41
AFG,2019,SSP3,regression,12149180,1845.41
AFG,2019,SSP4,regression,12149180,1845.41
AFG,2019,SSP5,regression,12149180,1845.41
AFG,2020,SSP1,regression,11666924,1888.56
AFG,2020,SSP2,regression,11666924,1888.56
AFG,2020,SSP3,regression,11666924,1888.56
AFG,2020,SSP4,regression,11666924,1888.56
AFG,2020,SSP5,regression,11666924,1888.56
AFG,2021,SSP1,regression,11102498,1942.66
AFG,2021,SSP2,regression,11102498,1942.66
AFG,2021,SSP3,regression,11102498,1942.66
AFG,2021,SSP4,regression,11102498,1942.66
AFG,2021,SSP5,regression,11102498,1942.66
AFG,2022,SSP1,regression,10468533,2008.78
AFG,2022,SSP2,regression,10468533,2008.78
AFG,2022,SSP3,regression,10468533,2008.78
AFG,2022,SSP4,regression,10468533,2008.78
AFG,2022,SSP5,regression,10468533,2008.78
AFG,2023,SSP1,regression,10033841,2057.66
AFG,2023,SSP2,regression,10212108,2041.96
AFG,2023,SSP3,regression,10375284,2029.35
AFG,2023,SSP4,regression,10351112,2030.5
AFG,2023,SSP5,regression,9969767,2063.56
AFG,2024,SSP1,regression,9618606,2107.73
AFG,2024,SSP2,regression,9962434,2075.69
AFG,2024,SSP3,regression,10282797,2050.14
AFG,2024,SSP4,regression,10234981,2052.46
AFG,2024,SSP5,regression,9496595,2119.84
AFG,2025,SSP1,regression,9221901,2159.02
AFG,2025,SSP2,regression,9719322,2109.98
AFG,2025,SSP3,regression,10191066,2071.14
AFG,2025,SSP4,regression,10120124,2074.66
AFG,2025,SSP5,regression,9047617,2177.65
AFG,2026,SSP1,regression,8703496,2228.99
AFG,2026,SSP2,regression,9431700,2150.28
AFG,2026,SSP3,regression,10080427,2093.59
AFG,2026,SSP4,regression,9996059,2097.24
AFG,2026,SSP5,regression,8451139,2260.17
AFG,2027,SSP1,regression,8216557,2301.23
AFG,2027,SSP2,regression,9153283,2191.35
AFG,2027,SSP3,regression,9970963,2116.27
AFG,2027,SSP4,regression,9873493,2120.07
AFG,2027,SSP5,regression,7897114,2345.81
AFG,2028,SSP1,regression,7759048,2375.81
AFG,2028,SSP2,regression,8883755,2233.2
AFG,2028,SSP3,regression,9862662,2139.2
AFG,2028,SSP4,regression,9752408,2143.15
AFG,2028,SSP5,regression,7382321,2434.7
AFG,2029,SSP1,regression,7329071,2452.81
AFG,2029,SSP2,regression,8622814,2275.85
AFG,2029,SSP3,regression,9755512,2162.38
AFG,2029,SSP4,regression,9632787,2166.48
AFG,2029,SSP5,regression,6903797,2526.95
AFG,2030,SSP1,regression,6924858,2532.3
AFG,2030,SSP2,regression,8370169,2319.32
AFG,2030,SSP3,regression,9649502,2185.81
AFG,2030,SSP4,regression,9514612,2190.07
AFG,2030,SSP5,regression,6458815,2622.7
AFG,2031,SSP1,regression,6482782,2626.82
AFG,2031,SSP2,regression,8082105,2368.83
AFG,2031,SSP3,regression,9496603,2213.06
AFG,2031,SSP4,regression,9367226,2215.25
AFG,2031,SSP5,regression,5977858,2737.94
AGO,2015,SSP1,survey,6867780,6937.59
AGO,2015,SSP2,survey,6867780,6937.59
AGO,2015,SSP3,survey,6867780,6937.59
AGO,2015,SSP4,survey,6867780,6937.59
AGO,2015,SSP5,survey,6867780,6937.59
AGO,2016,SSP1,survey,7420398,6720.32
AGO,2016,SSP2,survey,7420398,6720.32
AGO,2016,SSP3,survey,7420398,6720.32
AGO,2016,SSP4,survey,7420398,6720.32
AGO,2016,SSP5,survey,7420398,6720.32
AGO,2017,SSP1,survey,7856032,6598.79
AGO,2017,SSP2,survey,7856032,6598.79
AGO,2017,SSP3,survey,7856032,6598.79
AGO,2017,SSP4,survey,7856032,6598.79
AGO,2017,SSP5,survey,7856032,6598.79
AGO,2018,SSP1,survey,8285219,6494.44
AGO,2018,SSP2,survey,8285219,6494.44
AGO,2018,SSP3,survey,8285219,6494.44
AGO,2018,SSP4,survey,8285219,6494.44
AGO,2018,SSP5,survey,8285219,6494.44
AGO,2019,SSP1,survey,8747041,6384.51
AGO,2019,SSP2,survey,8747041,6384.51
AGO,2019,SSP3,survey,8747041,6384.51
AGO,2019,SSP4,survey,8747041,6384.51
AGO,2019,SSP5,survey,8747041,6384.51
AGO,2020,SSP1,survey,9214087,6284.7
AGO,2020,SSP2,survey,9214087,6284.7
AGO,2020,SSP3,survey,9214087,6284.7
AGO,2020,SSP4,survey,9214087,6284.7
AGO,2020,SSP5,survey,9214087,6284.7
AGO,2021,SSP1,survey,9720241,6177.79
AGO,2021,SSP2,survey,9720241,6177.79
AGO,2021,SSP3,survey,9720241,6177.79
AGO,2021,SSP4,survey,9720241,6177.79
AGO,2021,SSP5,survey,9720241,6177.79
AGO,2022,SSP1,survey,10237488,6078.1
AGO,2022,SSP2,survey,10237488,6078.1
AGO,2022,SSP3,survey,10237488,6078.1
AGO,2022,SSP4,survey,10237488,6078.1
AGO,2022,SSP5,survey,10237488,6078.1
AGO,2023,SSP1,survey,10376306,6113.45
AGO,2023,SSP2,survey,10493266,6078.34
AGO,2023,SSP3,survey,10570105,6059.93
AGO,2023,SSP4,survey,10574164,6060.42
AGO,2023,SSP5,survey,10328226,6136.73
AGO,2024,SSP1,survey,10516654,6149.02
AGO,2024,SSP2,survey,10755434,6078.59
AGO,2024,SSP3,survey,10913433,6041.82
AGO,2024,SSP4,survey,10921820,6042.79
AGO,2024,SSP5,survey,10418807,6195.92
AGO,2025,SSP1,survey,10658540,6184.79
AGO,2025,SSP2,survey,11024153,6078.84
AGO,2025,SSP3,survey,11267812,6023.76
AGO,2025,SSP4,survey,11280813,6025.22
AGO,2025,SSP5,survey,10509202,6255.69
AGO,2026,SSP1,survey,10764478,6221.49
AGO,2026,SSP2,survey,11303185,6064.14
AGO,2026,SSP3,survey,11654246,5986.73
AGO,2026,SSP4,survey,11647450,5997.93
AGO,2026,SSP5,survey,10523177,6334.04
AGO,2027,SSP1,survey,10871083,6258.4
AGO,2027,SSP2,survey,11589213,6049.48
AGO,2027,SSP3,survey,12053486,5949.94
AGO,2027,SSP4,survey,12025761,5970.76
AGO,2027,SSP5,survey,10535479,6413.38
AGO,2028,SSP1,survey,10978351,6295.54
AGO,2028,SSP2,survey,11882410,6034.85
AGO,2028,SSP3,survey,12465942,5913.36
AGO,2028,SSP4,survey,12416111,5943.72
AGO,2028,SSP5,survey,10546080,6493.71
AGO,2029,SSP1,survey,11086278,6332.89
AGO,2029,SSP2,survey,12182954,6020.26
AGO,2029,SSP3,survey,12892038,5877.02
AGO,2029,SSP4,survey,12818874,5916.79
AGO,2029,SSP5,survey,10554947,6575.04
AGO,2030,SSP1,survey,11194860,6370.47
AGO,2030,SSP2,survey,12491028,6005.7
AGO,2030,SSP3,survey,13329865,5840.89
AGO,2030,SSP4,survey,13234439,5889.99
AGO,2030,SSP5,survey,10562052,6657.4
AGO,2031,SSP1,survey,11267325,6413.36
AGO,2031,SSP2,survey,12792895,5983.52
AGO,2031,SSP3,survey,13788900,5789.25
AGO,2031,SSP4,survey,13632050,5858.08
AGO,2031,SSP5,survey,10516513,6753.18
ALB,2015,SSP1,survey,17421,10571.03
ALB,2015,SSP2,survey,17421,10571.03
ALB,2015,SSP3,survey,17421,10571.03
ALB,2015,SSP4,survey,17421,10571.03
ALB,2015,SSP5,survey,17421,10571.03
ALB,2016,SSP1,survey,15192,10904.33
ALB,2016,SSP2,survey,15192,10904.33
ALB,2016,SSP3,survey,15192,10904.33
ALB,2016,SSP4,survey,15192,10904.33
ALB,2016,SSP5,survey,15192,10904.33
ALB,2017,SSP1,survey,13134,11276.8
ALB,2017,SSP2,survey,13134,11276.8
ALB,2017,SSP3,survey,13134,11276.8
ALB,2017,SSP4,survey,13134,11276.8
ALB,2017,SSP5,survey,13134,11276.8
ALB,2018,SSP1,survey,11178,11707.11
ALB,2018,SSP2,survey,11178,11707.11
ALB,2018,SSP3,survey,11178,11707.11
ALB,2018,SSP4,survey,11178,11707.11
ALB,2018,SSP5,survey,11178,11707.11
ALB,2019,SSP1,survey,9698,12157.69
ALB,2019,SSP2,survey,9698,12157.69
ALB,2019,SSP3,survey,9698,12157.69
ALB,2019,SSP4,survey,9698,12157.69
ALB,2019,SSP5,survey,9698,12157.69
ALB,2020,SSP1,survey,8311,12627.3
ALB,2020,SSP2,survey,8311,12627.3
ALB,2020,SSP3,survey,8311,12627.3
ALB,2020,SSP4,survey,8311,12627.3
ALB,2020,SSP5,survey,8311,12627.3
ALB,2021,SSP1,survey,7168,13118.17
ALB,2021,SSP2,survey,7168,13118.17
ALB,2021,SSP3,survey,7168,13118.17
ALB,2021,SSP4,survey,7168,13118.17
ALB,2021,SSP5,survey,7168,13118.17
ALB,2022,SSP1,survey,6232,13633.43
