countrycode,year,gii,scenario
DZA,1995,0.64567554,Observed
AGO,1995,0.710327899,Observed
ARG,1995,0.399009245,Observed
ARM,1995,0.44410036,Observed
AUS,1995,0.123883745,Observed
AUT,1995,0.101206677,Observed
AZE,1995,0.408605631,Observed
BHS,1995,0.366241261,Observed
BGD,1995,0.704811544,Observed
BEL,1995,0.085547537,Observed
BLZ,1995,0.501111214,Observed
BEN,1995,0.678933104,Observed
BTN,1995,0.720446962,Observed
BWA,1995,0.562729143,Observed
BRA,1995,0.509357422,Observed
BGR,1995,0.3291426,Observed
BFA,1995,0.662002054,Observed
CPV,1995,0.556394991,Observed
KHM,1995,0.637334973,Observed
CMR,1995,0.689189478,Observed
CAN,1995,0.122056679,Observed
CAF,1995,0.741643235,Observed
TCD,1995,0.785095269,Observed
CHL,1995,0.460125283,Observed
COL,1995,0.512154999,Observed
COM,1995,0.820744462,Observed
CRI,1995,0.444453114,Observed
HRV,1995,0.222252145,Observed
CUB,1995,0.398503392,Observed
CYP,1995,0.272291362,Observed
CZE,1995,0.170933024,Observed
CIV,1995,0.703293117,Observed
DNK,1995,0.013731409,Observed
DOM,1995,0.580270023,Observed
ECU,1995,0.573296329,Observed
EGY,1995,0.637292677,Observed
SLV,1995,0.517980713,Observed
GNQ,1995,0.724799657,Observed
EST,1995,0.348173908,Observed
SWZ,1995,0.660074887,Observed
FJI,1995,0.465985945,Observed
FIN,1995,0.019507827,Observed
FRA,1995,0.128000584,Observed
GAB,1995,0.655981612,Observed
GMB,1995,0.762387347,Observed
GEO,1995,0.405612747,Observed
DEU,1995,0.075524741,Observed
GHA,1995,0.615392181,Observed
GRC,1995,0.207854273,Observed
GTM,1995,0.578410068,Observed
GIN,1995,0.71773103,Observed
GNB,1995,0.690266065,Observed
HUN,1995,0.270895184,Observed
ISL,1995,0.114307464,Observed
IND,1995,0.673837374,Observed
IDN,1995,0.557501138,Observed
IRN,1995,0.642776862,Observed
IRQ,1995,0.676854915,Observed
IRL,1995,0.150167879,Observed
ISR,1995,0.186351211,Observed
ITA,1995,0.110532898,Observed
JAM,1995,0.459793401,Observed
JPN,1995,0.069280795,Observed
JOR,1995,0.65479471,Observed
KAZ,1995,0.42141469,Observed
KEN,1995,0.681445233,Observed
PRK,1995,0.066986415,Observed
KOR,1995,0.192336628,Observed
KWT,1995,0.546161637,Observed
KGZ,1995,0.503518754,Observed
LVA,1995,0.362421355,Observed
LBN,1995,0.551470818,Observed
LSO,1995,0.578678517,Observed
LTU,1995,0.28370745,Observed
LUX,1995,0.125406766,Observed
MDG,1995,0.683543078,Observed
MWI,1995,0.702671538,Observed
MYS,1995,0.355312664,Observed
MDV,1995,0.627249285,Observed
MLI,1995,0.696435188,Observed
MLT,1995,0.297120201,Observed
MUS,1995,0.452098824,Observed
MEX,1995,0.498962286,Observed
MDA,1995,0.46395451,Observed
MNG,1995,0.482216484,Observed
MAR,1995,0.715898721,Observed
MOZ,1995,0.646748945,Observed
NAM,1995,0.543705515,Observed
NPL,1995,0.696480638,Observed
NLD,1995,0.031131705,Observed
NZL,1995,0.180372707,Observed
NIC,1995,0.608094046,Observed
NER,1995,0.788048449,Observed
MKD,1995,0.363581116,Observed
NOR,1995,0.043656503,Observed
PAK,1995,0.766369859,Observed
PAN,1995,0.514261448,Observed
PRY,1995,0.562131364,Observed
PER,1995,0.542966802,Observed
PHL,1995,0.467691886,Observed
POL,1995,0.187717224,Observed
PRT,1995,0.1966832,Observed
ROU,1995,0.45164474,Observed
RUS,1995,0.436662989,Observed
RWA,1995,0.590325637,Observed
LCA,1995,0.399350642,Observed
VCT,1995,0.472465414,Observed
WSM,1995,0.510122278,Observed
STP,1995,0.646521479,Observed
SEN,1995,0.665955602,Observed
SGP,1995,0.185583877,Observed
SVK,1995,0.192423405,Observed
SVN,1995,0.155977152,Observed
ZAF,1995,0.405295955,Observed
ESP,1995,0.071350152,Observed
LKA,1995,0.453126311,Observed
SDN,1995,0.712193747,Observed
SUR,1995,0.541269841,Observed
SWE,1995,0.01,Observed
CHE,1995,0.017180303,Observed
SYR,1995,0.56517457,Observed
TJK,1995,0.56888186,Observed
TZA,1995,0.638737204,Observed
THA,1995,0.357285686,Observed
TGO,1995,0.743530277,Observed
TON,1995,0.671443815,Observed
TTO,1995,0.404912462,Observed
TUN,1995,0.48565168,Observed
TUR,1995,0.6027447,Observed
TKM,1995,0.34448374,Observed
UGA,1995,0.648697338,Observed
UKR,1995,0.450927651,Observed
ARE,1995,0.613362554,Observed
GBR,1995,0.205544732,Observed
USA,1995,0.266390476,Observed
URY,1995,0.421172473,Observed
VEN,1995,0.527191327,Observed
VNM,1995,0.359539348,Observed
ZMB,1995,0.657240148,Observed
ZWE,1995,0.579650199,Observed
AGO,2000,0.676434264,Observed
ALB,2000,0.298329343,Observed
ARE,2000,0.578615306,Observed
ARG,2000,0.397046048,Observed
ARM,2000,0.44040271,Observed
AUS,2000,0.097391563,Observed
AUT,2000,0.079182201,Observed
BDI,2000,0.62257976,Observed
BEL,2000,0.051419423,Observed
BEN,2000,0.672337574,Observed
BFA,2000,0.650621467,Observed
BGD,2000,0.681826379,Observed
BGR,2000,0.294332679,Observed
BHS,2000,0.379391102,Observed
BLZ,2000,0.501923933,Observed
BOL,2000,0.575579626,Observed
BRA,2000,0.493899294,Observed
BTN,2000,0.60448169,Observed
BWA,2000,0.505950505,Observed
CAF,2000,0.698111254,Observed
CHE,2000,0.01,Observed
CHL,2000,0.410642475,Observed
CHN,2000,0.219387483,Observed
CMR,2000,0.688461941,Observed
COG,2000,0.637318844,Observed
COL,2000,0.488710468,Observed
CPV,2000,0.519798482,Observed
CRI,2000,0.404202282,Observed
CUB,2000,0.36004397,Observed
CYP,2000,0.171318295,Observed
CZE,2000,0.101340151,Observed
DEU,2000,0.051383222,Observed
DNK,2000,0.01,Observed
DOM,2000,0.491046414,Observed
DZA,2000,0.590514658,Observed
ECU,2000,0.492752956,Observed
EGY,2000,0.613265259,Observed
ESP,2000,0.051384327,Observed
EST,2000,0.246956223,Observed
ETH,2000,0.680571868,Observed
FIN,2000,0.013673951,Observed
FRA,2000,0.090232678,Observed
GAB,2000,0.632330629,Observed
GBR,2000,0.16062552,Observed
GEO,2000,0.383581425,Observed
GIN,2000,0.703492897,Observed
GMB,2000,0.748566253,Observed
GNB,2000,0.703769509,Observed
GNQ,2000,0.705120638,Observed
GRC,2000,0.149069747,Observed
GTM,2000,0.580913737,Observed
GUY,2000,0.56139618,Observed
HND,2000,0.525447898,Observed
HRV,2000,0.135259042,Observed
HUN,2000,0.243647628,Observed
IDN,2000,0.555982849,Observed
IND,2000,0.636202756,Observed
IRL,2000,0.146709591,Observed
