countrycode,country,scenario,year,governance,gov.eff,corr.cont
ARG,Argentina,Observed,1996,0.577774731,0.537922098,0.407355917
ARM,Armenia,Observed,1996,0.444439443,0.426790233,0.321677321
AUS,Australia,Observed,1996,0.879055779,0.870526498,0.86340742
AUT,Austria,Observed,1996,0.885184522,0.856506219,0.829942997
AZE,Azerbaijan,Observed,1996,0.295011597,0.317780153,0.097516393
BDI,Burundi,Observed,1996,0.218405191,0.166004562,0.273832736
BEL,Belgium,Observed,1996,0.83499186,0.852415795,0.744085757
BEN,Benin,Observed,1996,0.541843305,0.426790233,0.304376402
BFA,Burkina Faso,Observed,1996,0.434909459,0.31522677,0.456411163
BGD,Bangladesh,Observed,1996,0.391485912,0.364274996,0.207212084
BGR,Bulgaria,Observed,1996,0.517033366,0.495549951,0.347386872
BHR,Bahrain,Observed,1996,0.562958314,0.662215752,0.506465174
BHS,Bahamas,Observed,1996,0.779258389,0.78359056,0.697333525
BIH,Bosnia and Herzegovina,Observed,1996,0.423122603,0.261699693,0.368345992
BLR,Belarus,Observed,1996,0.412747103,0.426790233,0.340909362
BLZ,Belize,Observed,1996,0.607353719,0.583261635,0.424578112
BOL,"Bolivia, Plurinational State of",Observed,1996,0.491665027,0.468613089,0.240598339
BRA,Brazil,Observed,1996,0.535856289,0.475093946,0.426425575
BRB,Barbados,Observed,1996,0.811904412,0.791890172,0.786280856
BRN,Brunei Darussalam,Observed,1996,0.673549117,0.692864503,0.541108302
BTN,Bhutan,Observed,1996,0.563553668,0.63541877,0.648016581
BWA,Botswana,Observed,1996,0.69638838,0.617404773,0.619234428
CAF,Central African Republic,Observed,1996,0.302008444,0.21816172,0.167742004
CAN,Canada,Observed,1996,0.884729915,0.858685923,0.898913817
CHE,Switzerland,Observed,1996,0.897231708,0.861679971,0.888673018
CHL,Chile,Observed,1996,0.780098198,0.776416111,0.765858249
CHN,China,Observed,1996,0.427529034,0.433282227,0.368203139
CIV,Cote d'Ivoire,Observed,1996,0.453591846,0.45111926,0.370651491
CMR,Cameroon,Observed,1996,0.29100688,0.284453458,0.123015864
COG,Congo,Observed,1996,0.312857296,0.266328641,0.232321399
COL,Colombia,Observed,1996,0.398376281,0.410908538,0.312641665
COM,Comoros,Observed,1996,0.370876887,0.166004562,0.200555074
CPV,Cape Verde,Observed,1996,NA,NA,0.694228268
CRI,Costa Rica,Observed,1996,0.687037911,0.599512681,0.591157207
CUB,Cuba,Observed,1996,0.388617851,0.319464005,0.497352743
CYP,Cyprus,Observed,1996,0.754615688,0.742580796,0.737547841
CZE,Czech Republic,Observed,1996,0.730589437,0.63046706,0.588178654
DEU,Germany,Observed,1996,0.869834942,0.855087627,0.869828922
DJI,Djibouti,Observed,1996,0.363454749,0.322475964,0.26476404
DNK,Denmark,Observed,1996,0.914610591,0.862080208,0.944987561
DOM,Dominican Republic,Observed,1996,0.486105919,0.458797179,0.333214379
DZA,Algeria,Observed,1996,0.300243336,0.282711219,0.300083408
ECU,Ecuador,Observed,1996,0.443782933,0.407514532,0.272855724
EGY,Egypt,Observed,1996,0.44981268,0.407847286,0.321860997
ERI,Eritrea,Observed,1996,0.370346933,0.27031883,0.54725997
ESP,Spain,Observed,1996,0.784744826,0.83379737,0.690972416
EST,Estonia,Observed,1996,0.698536587,0.628619953,0.534246343
