year,countrycode,scenario,hdi.proj
2010,ARG,SSP1,0.735605908
2015,ARG,SSP1,0.750137957
2020,ARG,SSP1,0.767399953
2025,ARG,SSP1,0.78184601
2030,ARG,SSP1,0.793859611
2035,ARG,SSP1,0.804060527
2040,ARG,SSP1,0.813532058
2045,ARG,SSP1,0.822262394
2050,ARG,SSP1,0.82797623
2055,ARG,SSP1,0.831333308
2060,ARG,SSP1,0.831972126
2065,ARG,SSP1,0.833337268
2070,ARG,SSP1,0.835101772
2075,ARG,SSP1,0.836956094
2080,ARG,SSP1,NA
2085,ARG,SSP1,NA
2090,ARG,SSP1,NA
2095,ARG,SSP1,NA
2010,ARM,SSP1,0.668342841
2015,ARM,SSP1,0.691769537
2020,ARM,SSP1,0.725073957
2025,ARM,SSP1,0.751501612
2030,ARM,SSP1,0.767844627
2035,ARM,SSP1,0.776763954
2040,ARM,SSP1,0.782117292
2045,ARM,SSP1,0.78554903
2050,ARM,SSP1,0.78661074
2055,ARM,SSP1,0.786374235
2060,ARM,SSP1,0.78444094
2065,ARM,SSP1,0.78373451
2070,ARM,SSP1,0.783855395
2075,ARM,SSP1,0.784457478
2080,ARM,SSP1,NA
2085,ARM,SSP1,NA
2090,ARM,SSP1,NA
2095,ARM,SSP1,NA
2010,AUS,SSP1,0.86230927
2015,AUS,SSP1,0.872213163
2020,AUS,SSP1,0.884888048
2025,AUS,SSP1,0.896542706
2030,AUS,SSP1,0.90618229
2035,AUS,SSP1,0.913414831
2040,AUS,SSP1,0.919371877
2045,AUS,SSP1,0.924272468
2050,AUS,SSP1,0.926088685
2055,AUS,SSP1,0.92539063
2060,AUS,SSP1,0.921829997
2065,AUS,SSP1,0.91919757
2070,AUS,SSP1,0.917308661
2075,AUS,SSP1,0.915535949
2080,AUS,SSP1,NA
2085,AUS,SSP1,NA
2090,AUS,SSP1,NA
2095,AUS,SSP1,NA
2010,AUT,SSP1,0.847187676
2015,AUT,SSP1,0.853092722
2020,AUT,SSP1,0.858940551
2025,AUT,SSP1,0.864348309
2030,AUT,SSP1,0.869862573
2035,AUT,SSP1,0.874810962
2040,AUT,SSP1,0.880007003
2045,AUT,SSP1,0.884533233
2050,AUT,SSP1,0.886247332
2055,AUT,SSP1,0.885686467
2060,AUT,SSP1,0.882614018
2065,AUT,SSP1,0.88077727
2070,AUT,SSP1,0.879781398
2075,AUT,SSP1,0.878839242
2080,AUT,SSP1,NA
2085,AUT,SSP1,NA
2090,AUT,SSP1,NA
2095,AUT,SSP1,NA
2010,AZE,SSP1,0.676152415
