region,period,scen,diffmig
533,2015,SSP1,0
533,2020,SSP1,0.520523735
533,2025,SSP1,1.288161145
533,2030,SSP1,2.237793094
533,2035,SSP1,3.336080084
533,2040,SSP1,4.566354496
533,2045,SSP1,5.939960763
533,2050,SSP1,7.458541508
533,2055,SSP1,9.107154094
533,2060,SSP1,10.85705847
533,2065,SSP1,12.66059221
533,2070,SSP1,14.48076879
533,2075,SSP1,16.27675521
533,2080,SSP1,18.02640885
533,2085,SSP1,19.70878544
533,2090,SSP1,21.30366713
533,2095,SSP1,22.79327376
533,2100,SSP1,24.16263201
4,2015,SSP1,0
4,2020,SSP1,-348.5525321
4,2025,SSP1,-847.6003141
4,2030,SSP1,-1467.579946
4,2035,SSP1,-2191.730438
4,2040,SSP1,-3011.899773
4,2045,SSP1,-3924.348978
4,2050,SSP1,-4927.05323
4,2055,SSP1,-6004.26089
4,2060,SSP1,-7139.939622
4,2065,SSP1,-8315.020014
4,2070,SSP1,-9511.509381
4,2075,SSP1,-10715.58922
4,2080,SSP1,-11906.17935
4,2085,SSP1,-13068.40652
4,2090,SSP1,-14182.93161
4,2095,SSP1,-15227.96022
4,2100,SSP1,-16184.23996
24,2015,SSP1,0
24,2020,SSP1,0.481468832
24,2025,SSP1,-6.385217258
24,2030,SSP1,-16.24037508
24,2035,SSP1,-28.40015377
24,2040,SSP1,-43.36197449
24,2045,SSP1,-61.72434203
24,2050,SSP1,-83.74296607
24,2055,SSP1,-109.3295915
24,2060,SSP1,-137.9957264
24,2065,SSP1,-169.2006475
24,2070,SSP1,-202.4205534
24,2075,SSP1,-237.0254755
24,2080,SSP1,-272.2890367
24,2085,SSP1,-307.0255521
24,2090,SSP1,-339.8574653
24,2095,SSP1,-369.5541776
24,2100,SSP1,-395.1898046
8,2015,SSP1,0
8,2020,SSP1,-105.4977922
8,2025,SSP1,-216.471852
8,2030,SSP1,-328.2225765
8,2035,SSP1,-438.267273
8,2040,SSP1,-545.5625848
8,2045,SSP1,-649.5983567
8,2050,SSP1,-749.7978498
8,2055,SSP1,-845.3376085
8,2060,SSP1,-935.1591191
8,2065,SSP1,-1018.12762
8,2070,SSP1,-1093.260999
8,2075,SSP1,-1159.702257
8,2080,SSP1,-1216.785538
8,2085,SSP1,-1263.516175
8,2090,SSP1,-1298.002329
8,2095,SSP1,-1320.474102
8,2100,SSP1,-1332.409634
784,2015,SSP1,0
784,2020,SSP1,619.8506876
784,2025,SSP1,1282.942292
784,2030,SSP1,1972.407851
784,2035,SSP1,2677.618673
784,2040,SSP1,3395.079327
784,2045,SSP1,4121.946774
784,2050,SSP1,4853.494964
