region,period,scen,rem
533,2015,SSP1,NA
533,2020,SSP1,0
533,2025,SSP1,0
533,2030,SSP1,0
533,2035,SSP1,0
533,2040,SSP1,0
533,2045,SSP1,0
533,2050,SSP1,0
533,2055,SSP1,0
533,2060,SSP1,0
533,2065,SSP1,0
533,2070,SSP1,0
533,2075,SSP1,0
533,2080,SSP1,0
533,2085,SSP1,0
533,2090,SSP1,0
533,2095,SSP1,0
533,2100,SSP1,0
4,2015,SSP1,NA
4,2020,SSP1,0.337302788
4,2025,SSP1,-0.228719075
4,2030,SSP1,-1.055997449
4,2035,SSP1,-2.439027869
4,2040,SSP1,-4.83126121
4,2045,SSP1,-8.651485188
4,2050,SSP1,-14.64625609
4,2055,SSP1,-23.50930177
4,2060,SSP1,-36.64260326
4,2065,SSP1,-53.6810291
4,2070,SSP1,-75.14811237
4,2075,SSP1,-100.2308659
4,2080,SSP1,-137.0426201
4,2085,SSP1,-172.6000151
4,2090,SSP1,-212.0702483
4,2095,SSP1,-255.3791585
4,2100,SSP1,-325.1516912
24,2015,SSP1,NA
24,2020,SSP1,-0.021063278
24,2025,SSP1,-0.024735104
24,2030,SSP1,-0.026572872
24,2035,SSP1,-0.027336311
24,2040,SSP1,-0.027667703
24,2045,SSP1,-0.030441752
24,2050,SSP1,-0.034515132
24,2055,SSP1,-0.040961558
24,2060,SSP1,-0.048862265
24,2065,SSP1,-0.064825543
24,2070,SSP1,-0.074846304
24,2075,SSP1,-0.077928412
24,2080,SSP1,-0.102245569
24,2085,SSP1,-0.097332252
24,2090,SSP1,-0.096963505
24,2095,SSP1,-0.095341468
24,2100,SSP1,-0.121999781
8,2015,SSP1,NA
8,2020,SSP1,2.071817853
8,2025,SSP1,2.285153859
8,2030,SSP1,2.560076648
8,2035,SSP1,2.865274492
8,2040,SSP1,3.184049628
8,2045,SSP1,3.522223716
8,2050,SSP1,3.880911331
8,2055,SSP1,4.148606833
8,2060,SSP1,4.400519455
8,2065,SSP1,4.773468371
8,2070,SSP1,4.972311585
8,2075,SSP1,5.089859549
8,2080,SSP1,5.335648685
