"","scenario","country or area","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"1","SSP1","AFG",8.401,8.684,8.976,9.276,9.586,9.904,10.233,10.57,10.918,11.275,11.643,12.021,12.41,12.809,13.219,13.641,14.074,14.517,14.973,15.442,15.995,16.562,17.147,17.747,18.365,18.997,19.647,20.314,20.998,21.088,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,24.00306418,24.48040214,24.95930878,25.44313753,25.9324285,26.42446919,26.92122447,27.42466771,27.94327973,28.46360844,28.98836873,29.49289768,30.002929,30.50597314,31.01353115,31.53352636,32.05177249,32.5628579,33.09360437,33.62266991,34.13687482,34.65508222,35.16654881,35.67410337,36.1988852,36.72698222,37.24861832,37.79044186,38.34119307,38.89204911,39.43947227,39.99722522,40.55097766,41.09900713,41.64987655,42.18552983,42.7303441,43.2747483,43.80040282,44.321909,44.84838467,45.37213455,45.89394597,46.4287649,46.95607125,47.48089158,48.00364001,48.53794804,49.06732103,49.59719413,50.14322255,50.70258267,51.26047381,51.79328906,52.34644935,52.91842454,53.46774725,54.01511682,54.56537195,55.10473156,55.63148774,56.15578298,56.67266215,57.20448685,57.73255529,58.25694859,58.77095174,59.28596328,59.78443099,60.29829794,60.81029304,61.31505883,61.81236828,62.31012012,62.79918155,63.2916414,63.76854506,64.2538526,64.73258593,65.1997693,65.66307635,66.11752232,66.56160405,67.00407034,67.43694716,67.86744203,68.30387841,68.73878871,69.14908609,69.5577542,69.96485147
"2","SSP1","AGO",10.435,10.798,11.204,11.624,12.058,12.504,12.965,13.441,13.932,14.436,14.957,15.632,16.455,17.31,18.202,19.128,20.092,21.088,22.122,23.192,24.298,25.437,26.612,27.821,29.065,30.338,31.643,32.978,34.343,35.731,37.144,38.58,40.039,41.511,43,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.70444047,60.39055113,61.07082247,61.72175347,62.37282482,63.01407166,63.62492642,64.22966951,64.82939766,65.42071169,66.02433653,66.61354399,67.16168762,67.70768316,68.23567184,68.7825338,69.29326904,69.79604911,70.29697058,70.77883796,71.25745767,71.71326713,72.16432547,72.61221221,73.04440734,73.48039661,73.90084561,74.31869086,74.7293752,75.13660545,75.54043003,75.93209188,76.30798823,76.67657659,77.04224266,77.39899226,77.75013913,78.07214772,78.39297457,78.70713653,79.01339236,79.31466696,79.61379897,79.90488357,80.18260979,80.45942316,80.73988339,81.01025835,81.27064228,81.52244613,81.76191859,81.9978686,82.23898309,82.47249567,82.70551443,82.93355648,83.1521702,83.36624582,83.57526956,83.78019797,83.967162,84.15401459,84.33188882,84.49800971,84.66223354,84.82374358,84.98142586,85.13352906,85.45033412,85.80032246,86.14509155,86.45858766,86.7633052,87.06183134,87.35086497,87.66019289,87.97681784,88.27338598,88.55709533,88.83394083,89.10910278,89.35195745,89.59139727,89.82658994,90.05902318,90.28812092,90.51292128,90.73680645,90.95448827,91.1667766,91.37512064
"3","SSP1","ALB",30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374,31.446,31.548,31.74,31.933,32.127,32.321,32.516,32.712,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888,36.158,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,51.64167458,52.20339226,52.77684323,53.34656461,53.91170727,54.45050198,54.98870755,55.52277936,56.05413089,56.58886802,57.11587875,57.64211501,58.16146528,58.67499901,59.19125593,59.70336115,60.22419706,60.73741212,61.24735635,61.7487254,62.2413513,62.73494754,63.22273265,63.71097572,64.20960739,64.69699579,65.17820529,65.64728549,66.09955239,66.55568861,67.00239321,67.43627557,67.86193575,68.28657104,68.72643688,69.15443302,69.57169479,69.98475685,70.38730773,70.78140502,71.17579429,71.55164599,71.9407679,72.32607276,72.70214816,73.08163676,73.45249129,73.80257648,74.15884782,74.49375381,74.83320891,75.1667122,75.49509382,75.8131262,76.12250923,76.40992953,76.70335056,77.0003802,77.28905491,77.57483101,77.8530268,78.12050872,78.38243067,78.6428375,78.89841243,79.15017711,79.39518829,79.63454825,79.86217308,80.09291534,80.32140283,80.53556174,80.74433186,80.94908022,81.15186134,81.34907424,81.54061754,81.73224009,81.91766245,82.10020813,82.2742233,82.44867562,82.63319047,82.81216736,82.98847355,83.15667169,83.31986307,83.47896782,83.63344609,83.78517493,83.93440065
"4","SSP1","AND",58.45,60.983,63.462,65.872,68.205,70.445,72.593,74.641,76.588,78.424,80.155,81.78,83.301,84.716,86.032,87.252,88.382,89.42,90.378,91.257,92.064,92.8,93.474,94.089,94.649,95.159,95.325,95.178,95.027,94.872,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,89.17005082,89.42274329,89.65381857,89.87120237,90.08688394,90.30007151,90.52052518,90.73461433,90.94383439,91.14769434,91.35600384,91.56025852,91.76017216,91.96228198,92.15971528,92.35302393,92.54248909,92.75261097,92.95924739,93.15836793,93.35434598,93.56727421,93.77389529,93.98601191,94.19113265,94.38850345,94.56613843,94.73863243,94.90636249,95.068481,95.22737724,95.3814424,95.52966294,95.67327508,95.81263515,95.94719718,96.07776665,96.20452053,96.32679008,96.44602008,96.56037434,96.65610406,96.75838818,96.85833077,96.95507768,97.08811537,97.21864121,97.34315517,97.46800594,97.58728372,97.70582905,97.81881801,97.93016229,98.0359828,98.14015411,98.23923398,98.33623214,98.427892,98.51443867,98.59639251,98.67381961,98.74717413,98.8166014,98.88206785,98.94394986,99.00249993,99.05774333,99.11005339,99.1594887,99.20616196,99.25026333,99.29188585,99.33122933,99.36834328,99.40345258,99.42231963,99.44059912,99.45822165,99.47537836,99.49197092,99.50806159,99.52365543,99.53876078,99.55342209,99.56756851,99.58126747,99.59454432,99.60736098,99.61980939,99.63185508,99.64355659
"5","SSP1","ARE",73.5,74.383,75.248,76.093,76.919,77.723,78.508,79.272,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.903,80.106,80.309,80.51,80.71,80.683,80.466,80.247,80.026,79.804,79.624,79.482,79.339,79.196,79.051,78.906,78.76,78.614,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.871,82.262,82.648,83.023,83.387,83.742,83.88185061,84.01857449,84.1528705,84.28449185,84.41358853,84.54969513,84.66266184,84.77490338,84.89848641,85.0181452,85.33774245,85.63317364,85.9416416,86.25763905,86.52804373,86.83149588,87.12800514,87.39714642,87.67286017,87.9616869,88.23461363,88.49531068,88.75149501,89.00055518,89.24509104,89.48713063,89.70836793,89.92597033,90.14322166,90.35520859,90.56292836,90.77721694,90.98487054,91.18461453,91.39157591,91.59234375,91.79575504,91.99628436,92.19419243,92.38669372,92.57697753,92.78600478,92.98937658,93.187752,93.38285438,93.59331306,93.80822902,94.01833252,94.22100399,94.41685722,94.59454289,94.76702465,94.93447556,95.09597137,95.25267528,95.40436556,95.55258281,95.69596124,95.8344993,95.96893825,96.09943246,96.22530243,96.34757448,96.46619134,96.58077351,96.67607958,96.7781902,96.87784027,97.01424881,97.14767162,97.27527013,97.40316885,97.52520408,97.64165819,97.75761079,97.86777468,97.97672684,98.08038373,98.18247728,98.27915596,98.37401996,98.46362437,98.54846002,98.62856932,98.70431242,98.77593014,98.84362813,98.90753331,98.96806336,99.02526336,99.07924293
"6","SSP1","ARG",73.611,74.217,74.767,75.309,75.844,76.369,76.888,77.398,77.901,78.394,78.88,79.321,79.743,80.158,80.567,80.969,81.366,81.755,82.139,82.516,82.887,83.313,83.759,84.194,84.621,85.038,85.445,85.843,86.233,86.613,86.984,87.328,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.91363163,91.13128625,91.34523817,91.55524207,91.78797924,92.01555954,92.23794745,92.45466321,92.66704602,92.87341239,93.07577241,93.27306777,93.48760617,93.69651157,93.91004165,94.11616489,94.31809538,94.51038512,94.6850009,94.85402059,95.0174298,95.17689599,95.33213197,95.4827142,95.62665921,95.76924395,95.90550956,96.03821656,96.16650918,96.2902607,96.41039804,96.5270685,96.62441753,96.72837088,96.82875949,96.92602166,97.06038963,97.19196283,97.31767825,97.44365993,97.56380345,97.68341498,97.79734379,97.9103807,98.01751904,98.11916755,98.21925908,98.31411615,98.40697168,98.49467014,98.57768381,98.65610788,98.73043635,98.80076934,98.86716382,98.92976212,98.98896951,99.04497177,99.09800278,99.14820893,99.19564307,99.24025897,99.28249759,99.32240075,99.36010036,99.3956593,99.41475838,99.4331705,99.45111897,99.46847387,99.48532616,99.50161595,99.51737827,99.53269078,99.54751899,99.56185383,99.57574678,99.58920032,99.60223643,99.6148001,99.6270042,99.63883149,99.65031305,99.66142663,99.67216268,99.68256089,99.69264211,99.70239412,99.71184141,99.72098353,99.72983006
"7","SSP1","ARM",51.275,52.147,53.019,53.889,54.758,55.622,56.483,57.341,58.195,59.042,59.864,60.657,61.445,62.225,63,63.611,64.219,64.821,65.419,65.839,66.05,66.259,66.467,66.675,66.883,67.09,67.296,67.501,67.706,67.69,67.421,67.15,66.878,66.606,66.332,66.057,65.781,65.504,65.226,64.947,64.666,64.385,64.236,64.137,64.038,63.938,63.839,63.739,63.64,63.54,64.02550484,64.50602309,64.97126178,65.43080335,65.8856772,66.33137796,66.77229182,67.18486275,67.60633575,68.01624352,68.41847201,68.82659366,69.20377117,69.58285153,69.95871435,70.33058801,70.70247859,71.07348607,71.42824664,71.79149475,72.14955683,72.48953244,72.82150175,73.15160878,73.47667519,73.79416608,74.10992829,74.41094051,74.71962392,75.03324698,75.34384155,75.65240404,75.94013399,76.22102718,76.49698949,76.79280852,77.07236841,77.3454366,77.6123483,77.87321909,78.11772991,78.35581394,78.58886346,78.82067031,79.04655481,79.27103103,79.48785396,79.69977991,79.9119663,80.1159425,80.32220129,80.5249594,80.72277669,80.91880822,81.10943925,81.29820061,81.48257859,81.66367995,81.84262469,82.01798537,82.1903368,82.35600358,82.53464683,82.71186339,82.88212872,83.04747607,83.20391962,83.35868414,83.50869092,83.65717089,83.8012667,83.942733,84.08080692,84.21417483,84.34455684,84.47805339,84.60832561,84.73332056,84.85795278,84.97922667,85.09705426,85.4141522,85.70712727,86.01543972,86.33008997,86.61719816,86.92240962,87.21725475,87.48406887,87.77061831,88.05585665
"8","SSP1","ASM",66.211,66.641,67.068,67.493,67.916,68.334,68.75,69.163,69.574,69.98,70.384,70.784,71.182,71.576,71.967,72.354,72.739,73.12,73.497,73.871,74.33,75.043,75.743,76.429,77.103,77.762,78.408,79.04,79.659,80.263,80.948,81.886,82.789,83.654,84.485,85.28,86.043,86.771,87.467,88.131,88.587,88.491,88.394,88.297,88.198,88.1,88,87.9,87.799,87.697,88.02234229,88.32164189,88.58173301,88.8643834,89.11341581,89.35590228,89.59462947,89.83019613,90.06279354,90.29309269,90.5175071,90.74053394,90.95855128,91.17081348,91.37895431,91.58271323,91.814985,92.04200837,92.2648629,92.48144643,92.69313209,92.89742744,93.09900783,93.29571094,93.51043522,93.71816549,93.92955371,94.13455218,94.33501523,94.52730346,94.70090758,94.86783983,95.03147998,95.19043964,95.34484886,95.49362371,95.63821717,95.77884388,95.91474876,96.04603105,96.17343904,96.29676847,96.41623326,96.53238829,96.62902855,96.7320221,96.83226217,96.92991106,97.06394874,97.19582979,97.32140971,97.44723499,97.56718581,97.68663601,97.80044461,97.91318879,98.02022079,98.12147728,98.22143822,98.31619252,98.40897332,98.49669365,98.57976204,98.65825141,98.73232097,98.80240508,98.86859131,98.93128477,98.99040667,99.04630565,99.09919761,99.14914468,99.19640985,99.24109002,99.28329154,99.3231926,99.36083111,99.39639906,99.4154734,99.43400124,99.45194054,99.46928314,99.48603431,99.50236505,99.51812374,99.53335395,99.54816776,99.56247099,99.57630065,99.58969693,99.60269868
"9","SSP1","AUS",81.529,81.941,82.228,82.511,82.792,83.068,83.34,83.507,83.672,83.836,83.999,84.16,84.32,84.478,84.636,84.792,84.947,85.1,85.252,85.403,85.552,85.7,85.67,85.641,85.611,85.582,85.552,85.522,85.493,85.463,85.433,85.403,85.285,85.157,85.028,84.898,84.767,84.636,84.503,84.37,84.235,84.1,84.222,84.343,84.463,84.582,84.7,84.822,84.943,85.063,85.3478377,85.63210346,85.9130504,86.18824659,86.49378566,86.79183567,87.08540216,87.36739771,87.64471878,87.9309573,88.20828366,88.47187309,88.72920471,88.98063887,89.2273729,89.47003064,89.70700895,89.92453511,90.14028075,90.35266891,90.56166272,90.77558527,90.98385648,91.18499694,91.39347796,91.5971116,91.80214298,92.00317954,92.1999947,92.39413495,92.58273831,92.79169282,92.9956173,93.19533178,93.38863308,93.59878324,93.81661929,94.02623479,94.23031288,94.42612716,94.60293355,94.77465928,94.94121998,95.10361225,95.26009392,95.41203556,95.55943395,95.70057228,95.83904531,95.97314746,96.10302555,96.22927711,96.35101929,96.46939072,96.58391955,96.67958439,96.78191895,96.88098047,97.01711294,97.15078845,97.27820723,97.40603558,97.52787993,97.64409017,97.75976203,97.86999046,97.97874314,98.08237302,98.18430735,98.28098383,98.37568723,98.46517294,98.54989894,98.63011264,98.70578779,98.7772322,98.8449285,98.90878833,98.96919639,99.02639356,99.08037046,99.13132718,99.17957471,99.22505808,99.26808678,99.30870922,99.34713028,99.38343095,99.41770396,99.43611763,99.45394331
"10","SSP1","AZE",52.663,52.364,52.064,51.764,51.464,51.164,50.864,50.564,50.263,49.963,50.008,50.462,50.917,51.371,51.698,51.897,52.096,52.294,52.492,52.655,52.777,52.897,53.018,53.139,53.299,53.498,53.697,53.895,54.094,54.057,53.749,53.441,53.132,52.824,52.515,52.206,51.896,51.588,51.278,51.185,51.386,51.587,51.787,51.988,52.189,52.389,52.589,52.79,52.99,53.19,53.71043805,54.22989102,54.75009454,55.26798542,55.77827354,56.28583383,56.80127847,57.31384019,57.81957307,58.32230611,58.82497276,59.3177752,59.80450947,60.29568265,60.78732936,61.28322105,61.77856012,62.26349748,62.75098405,63.23535973,63.71239989,64.19571962,64.66985008,65.13619728,65.59488813,66.04433091,66.48606909,66.91217157,67.3303037,67.74041463,68.14544766,68.54851308,68.93680227,69.31566381,69.69422536,70.0685987,70.44166194,70.81043721,71.1814171,71.53270114,71.89644914,72.24842524,72.58761624,72.92112893,73.24696808,73.57053722,73.88551979,74.19900297,74.51074136,74.82183693,75.13121454,75.43899561,75.74402951,76.03083378,76.31402353,76.58984308,76.87345536,77.15170866,77.42183527,77.68476039,77.9347475,78.17995563,78.41586662,78.64816959,78.87815527,79.10323242,79.32756115,79.54368178,79.75551836,79.96531823,80.1689932,80.36552769,80.56794459,80.76701021,80.96306119,81.15491763,81.34326265,81.52768211,81.70820803,81.88808566,82.06296051,82.23207721,82.39786153,82.57459951,82.75007475,82.92020351,83.08093671,83.23659323,83.38910492,83.53987346,83.68648659
