"","scenario","country or area","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"1","SSP1","BDI",1.731,1.896,2.077,2.294,2.845,3.525,4.339,5.221,6.271,7.211,8.246,9.375,10.642,12.26688966,14.02570963,15.97565997,18.14950754,20.52842914,23.17931479,25.92950615,28.94372253,32.02802061,35.12538662,38.25354707,41.44619802,44.66690961,47.85179066,51.02090341,54.17175638,57.20457722,60.05882543
"2","SSP1","COM",6.601,9.15,12.551,16.978,19.39,21.239,23.215,25.469,27.869,28.301,28.08,27.875,27.973,30.58994617,33.25097723,35.86501297,38.6297602,41.40548644,44.22754738,46.94530185,49.73855705,52.5827579,55.28527662,57.88145232,60.47279192,63.0252652,65.45163313,67.70474938,69.75964332,71.70921984,73.64979195
"3","SSP1","DJI",39.81,45.011,50.325,56.109,61.777,67.142,72.096,74.925,75.957,76.3,76.532,76.761,76.999,78.31197533,79.48285731,80.55500428,81.58850409,82.47798901,83.37019221,84.14805067,84.84425859,85.4597475,87.04737791,88.57644285,89.88628461,91.08150395,92.11027743,93.14049392,94.08171903,94.94628415,95.68831505
"4","SSP1","ERI",7.1,8.351,9.799,11.466,12.678,13.511,14.39,15.757,18.905,22.514,26.587,31.099,35.175,38.41596283,41.78553407,45.14097472,48.50518139,51.72959725,54.86773749,57.96452423,60.87696616,63.66887675,66.30545224,68.69447582,70.99611264,73.11665133,75.02803407,76.65043188,78.09683262,79.32987264,80.45452139
"5","SSP1","ETH",4.6,5.444,6.433,7.587,8.588,9.46,10.41,11.453,12.621,13.827,14.74,15.7,17.319,19.46903038,21.80600427,24.256063,26.81748922,29.40568441,32.11836826,34.86315969,37.70400406,40.54769386,43.45897845,46.28766707,49.21543635,52.1567994,54.9559667,57.57592065,60.16751678,62.84136594,65.35019072
"6","SSP1","KEN",5.59,6.419,7.362,8.605,10.295,12.914,15.583,16.079,16.748,18.263,19.892,21.675,23.571,26.18725223,28.82386899,31.60022011,34.43267924,37.3186661,40.17723614,43.12947614,46.08381034,49.06150749,52.07741288,54.98829347,57.70464088,60.37523621,63.01153754,65.50142645,67.89296418,70.10751898,72.2140816
"7","SSP1","MDG",7.8,9.122,10.642,12.379,14.1,16.334,18.524,20.933,23.566,25.796,27.121,28.814,31.938,34.83849489,37.77684648,40.69563061,43.66277161,46.69237689,49.77139226,52.83037035,55.72981834,58.49649171,61.18082872,63.79573516,66.28056438,68.59312987,70.82152689,72.80145605,74.61373875,76.27909303,77.71879895
"8","SSP1","MWI",3.506,3.924,4.39,4.908,6.053,7.652,9.05,10.163,11.56,13.263,14.61,15.054,15.544,17.52975954,19.73457737,22.10805493,24.60669991,27.29745045,30.06266184,32.93372819,35.79506531,38.70954958,41.60978276,44.57708439,47.57509188,50.61257064,53.64571074,56.52234037,59.26327893,61.91624333,64.52846314
"9","SSP1","MUS",29.327,31.619,35.111,38.767,42.556,43.443,42.351,42.325,43.9,43.284,42.67,42.112,41.555,44.26639073,46.98333218,49.74048204,52.51674393,55.13351482,57.68820984,60.24418747,62.81243468,65.25361019,67.47024784,69.56745432,71.52442328,73.33567691,74.90533833,76.33067185,77.6759793,78.83460649,79.90967721
"10","SSP1","MYT",8.52,11.881,16.333,22.033,25.146,27.544,30.08,32.999,36.057,41.458,47.731,50.232,48.954,52.24662803,55.39816524,58.41080825,61.24190699,63.97317093,66.55810669,68.92831165,71.2019906,73.27436842,75.11148072,76.7309047,78.15600985,79.34283733,80.42848984,81.46172857,82.40672833,83.33197595,84.08292169
